time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-13 00:00:00+00:00,22,8,1,1
2026-06-14 00:00:00+00:00,31,10,23,20
2026-06-15 00:00:00+00:00,23,10,0,0
2026-06-16 00:00:00+00:00,18,5,0,0
2026-06-17 00:00:00+00:00,16,7,0,0
2026-06-18 00:00:00+00:00,28,9,0,0
2026-06-19 00:00:00+00:00,56,12,0,0
2026-06-20 00:00:00+00:00,36,8,0,0
2026-06-21 00:00:00+00:00,34,9,0,0
2026-06-22 00:00:00+00:00,39,12,0,0
2026-06-23 00:00:00+00:00,48,16,0,0
2026-06-24 00:00:00+00:00,19,5,0,0
2026-06-25 00:00:00+00:00,21,6,0,0
2026-06-26 00:00:00+00:00,6,2,0,0
