time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,16,7,0,0
2026-04-14 00:00:00+00:00,36,9,0,0
2026-04-15 00:00:00+00:00,9,5,0,0
2026-04-16 00:00:00+00:00,25,8,0,0
2026-04-17 00:00:00+00:00,30,9,0,0
2026-04-18 00:00:00+00:00,16,7,0,0
2026-04-19 00:00:00+00:00,11,5,0,0
2026-04-20 00:00:00+00:00,54,21,0,0
2026-04-21 00:00:00+00:00,78,29,0,0
2026-04-22 00:00:00+00:00,65,25,0,0
2026-04-23 00:00:00+00:00,55,19,0,0
2026-04-24 00:00:00+00:00,79,30,0,0
2026-04-25 00:00:00+00:00,44,19,0,0
2026-04-26 00:00:00+00:00,22,6,0,0
